spec,category_chain_or_product,method,status,reason,category,http_status,rpc_code,rpc_message
rise,chain,eth_submitWork,fail,jsonrpc error,Method not supported on chain,200,-32603,unimplemented
degen,chain,net_peerCount,fail,jsonrpc error,Method not supported on chain,200,-32601,the method net_peerCount does not exist/is not available
soneium,chain,eth_sendRawTransactionSync,fail,jsonrpc error,Mutation method needs funded sender,200,-32000,"insufficient funds for gas * price + value: balance 0, tx cost 2000000011340888988, overshot 2000000011340888988"
sonic,chain,eth_sendRawTransactionSync,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_sendRawTransactionSync does not exist/is not available
sonic,chain,eth_simulateV1,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_simulateV1 does not exist/is not available
sonic,chain,eth_submitWork,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_submitWork does not exist/is not available
mythos,chain,eth_sendRawTransaction,fail,jsonrpc error,Mutation method needs funded sender,200,-32000,"insufficient funds for gas * price + value: balance 0, tx cost 2000000000022094481, overshot 2000000000022094481"
mythos,chain,eth_submitWork,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_submitWork does not exist/is not available
hyperliquid,chain,eth_newPendingTransactionFilter,fail,HTTP 400,Method not supported on chain,400,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32600,""message"":""Unsupported method: eth_newPendingTransactionFilter on HYPERLIQUID_MAINNET""}}"
hyperliquid,chain,eth_sendRawTransaction,fail,jsonrpc error,Other JSON-RPC error,200,-32603,transaction underpriced
soneium,chain,eth_submitWork,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_submitWork does not exist/is not available
mantle,chain,eth_getFilterChanges,fail,HTTP 400,Stateless Try It - filter does not persist,400,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32000,""message"":""filter not found""}}"
abstract,chain,eth_getFilterChanges,fail,HTTP 400,Stateless Try It - filter does not persist,400,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32000,""message"":""filter not found""}}"
abstract,chain,eth_getFilterLogs,fail,HTTP 400,Stateless Try It - filter does not persist,400,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32000,""message"":""filter not found""}}"
tempo,chain,eth_getProof,fail,jsonrpc error,Invalid params shape (-32602),200,-32602,Invalid params
zetachain,chain,eth_getAccount,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_getAccount does not exist/is not available
zksync,chain,zks_getAllAccountBalances,fail,jsonrpc error,Method not supported on chain,200,-32601,Method not found
base,chain,eth_sendRawTransaction,fail,jsonrpc error,Mutation method - stale nonce example,200,-32000,"nonce too low: next nonce 22214, tx nonce 1"
base,chain,eth_sendRawTransactionSync,fail,jsonrpc error,Mutation method - stale nonce example,200,-32000,"nonce too low: next nonce 22214, tx nonce 1"
base,chain,eth_simulateV1,fail,jsonrpc error,Mutation method - gas mismatch,200,-32000,intrinsic gas too high
base,chain,eth_submitWork,fail,jsonrpc error,Method not supported on chain,200,-32603,unimplemented
